model,arch,seq_len,category,policy,budget,cache_MB,peak_GB,tok_per_s,ppl,ppl_ratio
SmolLM2-1.7B,MHA G=1 (1.7B),512,baseline,full,128,113.246208,4.568500736,31.20828229816061,4.628,1.0
SmolLM2-1.7B,MHA G=1 (1.7B),512,eviction,sliding(W=128),128,37.748736,4.553987584,32.12256605999359,536.548,115.923
SmolLM2-1.7B,MHA G=1 (1.7B),512,eviction,"streaming(s=4,W=124)",128,37.748736,4.491429376,31.874779053929498,12.471,2.694
SmolLM2-1.7B,MHA G=1 (1.7B),512,eviction,snapkv(b=128),128,37.748736,4.491429376,31.687787298128367,8.775,1.896
SmolLM2-1.7B,MHA G=1 (1.7B),512,eviction,h2o(b=128),128,37.748736,4.491429376,32.44696874020046,9.053,1.956
SmolLM2-1.7B,MHA G=1 (1.7B),1024,baseline,full,256,213.909504,4.721593856,32.025655576542796,4.093,1.0
SmolLM2-1.7B,MHA G=1 (1.7B),1024,eviction,sliding(W=256),256,62.91456,4.706210304,32.460293782495846,401.856,98.191
SmolLM2-1.7B,MHA G=1 (1.7B),1024,eviction,"streaming(s=4,W=252)",256,62.91456,4.574183936,32.29579205671152,8.488,2.074
SmolLM2-1.7B,MHA G=1 (1.7B),1024,eviction,snapkv(b=256),256,62.91456,4.574183936,31.756146141585653,7.296,1.783
SmolLM2-1.7B,MHA G=1 (1.7B),1024,eviction,h2o(b=256),256,62.91456,4.574183936,31.914358632426836,7.418,1.813
SmolLM2-1.7B,MHA G=1 (1.7B),2048,baseline,full,512,415.236096,5.027780096,31.80396130483079,7.713,1.0
SmolLM2-1.7B,MHA G=1 (1.7B),2048,eviction,sliding(W=512),512,113.246208,5.008546304,32.072234015543444,82.928,10.751
SmolLM2-1.7B,MHA G=1 (1.7B),2048,eviction,"streaming(s=4,W=508)",512,113.246208,4.71949568,31.834209553619587,7.912,1.026
SmolLM2-1.7B,MHA G=1 (1.7B),2048,eviction,snapkv(b=512),512,113.246208,4.71949568,31.85319261687871,7.729,1.002
SmolLM2-1.7B,MHA G=1 (1.7B),2048,eviction,h2o(b=512),512,113.246208,4.71949568,32.089385319747294,8.052,1.044
SmolLM2-1.7B,MHA G=1 (1.7B),4096,baseline,full,1024,817.88928,5.640152576,31.290203909078325,12.159,1.0
SmolLM2-1.7B,MHA G=1 (1.7B),4096,eviction,sliding(W=1024),1024,213.909504,5.614624256,31.862165070458406,603.257,49.615
SmolLM2-1.7B,MHA G=1 (1.7B),4096,eviction,"streaming(s=4,W=1020)",1024,213.909504,5.023583744,31.825330223592193,12.792,1.052
SmolLM2-1.7B,MHA G=1 (1.7B),4096,eviction,snapkv(b=1024),1024,213.909504,5.023583744,31.9424640040517,12.374,1.018
SmolLM2-1.7B,MHA G=1 (1.7B),4096,eviction,h2o(b=1024),1024,213.909504,5.023583744,32.031416717815056,12.594,1.036
Qwen2-0.5B,GQA G=7 (0.5B),512,baseline,full,128,7.077888,2.96321792,28.755871155294955,6.259,1.0
Qwen2-0.5B,GQA G=7 (0.5B),512,eviction,sliding(W=128),128,2.359296,2.960278016,28.73855638879545,75.507,12.064
Qwen2-0.5B,GQA G=7 (0.5B),512,eviction,"streaming(s=4,W=124)",128,2.359296,2.95707904,28.56666543705022,20.086,3.209
Qwen2-0.5B,GQA G=7 (0.5B),512,eviction,snapkv(b=128),128,2.359296,2.95707904,28.7433682307152,13.697,2.188
Qwen2-0.5B,GQA G=7 (0.5B),512,eviction,h2o(b=128),128,2.359296,2.95707904,28.74644892589892,14.411,2.303
Qwen2-0.5B,GQA G=7 (0.5B),1024,baseline,full,256,13.369344,3.12503552,28.64380981647034,7.476,1.0
Qwen2-0.5B,GQA G=7 (0.5B),1024,eviction,sliding(W=256),256,3.93216,3.119990272,28.455744916335405,57.667,7.713
Qwen2-0.5B,GQA G=7 (0.5B),1024,eviction,"streaming(s=4,W=252)",256,3.93216,3.112269312,28.63605589251911,15.858,2.121
Qwen2-0.5B,GQA G=7 (0.5B),1024,eviction,snapkv(b=256),256,3.93216,3.112269312,28.79481266057287,13.458,1.8
Qwen2-0.5B,GQA G=7 (0.5B),1024,eviction,h2o(b=256),256,3.93216,3.112269312,28.853672412652422,13.458,1.8
Qwen2-0.5B,GQA G=7 (0.5B),2048,baseline,full,512,25.952256,3.452900352,28.342708757437993,12.017,1.0
Qwen2-0.5B,GQA G=7 (0.5B),2048,eviction,sliding(W=512),512,7.077888,3.444291584,28.307807864519678,37.745,3.141
Qwen2-0.5B,GQA G=7 (0.5B),2048,eviction,"streaming(s=4,W=508)",512,7.077888,3.427526656,28.58545200716061,12.693,1.056
Qwen2-0.5B,GQA G=7 (0.5B),2048,eviction,snapkv(b=512),512,7.077888,3.428050944,28.956985690866276,12.017,1.0
Qwen2-0.5B,GQA G=7 (0.5B),2048,eviction,h2o(b=512),512,7.077888,3.428050944,28.860748101209623,12.326,1.026
Qwen2-0.5B,GQA G=7 (0.5B),4096,baseline,full,1024,51.11808,4.12622336,28.70871290601251,22.103,1.0
Qwen2-0.5B,GQA G=7 (0.5B),4096,eviction,sliding(W=1024),1024,13.369344,4.094544384,28.281630903923134,56.112,2.539
Qwen2-0.5B,GQA G=7 (0.5B),4096,eviction,"streaming(s=4,W=1020)",1024,13.369344,4.05957888,28.727350717621196,23.209,1.05
Qwen2-0.5B,GQA G=7 (0.5B),4096,eviction,snapkv(b=1024),1024,13.369344,4.05957888,29.15751273577986,22.583,1.022
Qwen2-0.5B,GQA G=7 (0.5B),4096,eviction,h2o(b=1024),1024,13.369344,4.05957888,28.92709106902746,24.039,1.088
